조사일,상품명,업태,평균판매가격
2024-12-20,백설 하얀설탕(1kg),기업형슈퍼,2743
2024-12-20,백설 하얀설탕(1kg),편의점,2667
2024-12-20,참이슬 오리지널(360ml),대형마트,1340
2024-12-20,참이슬 오리지널(360ml),백화점,1630
2024-12-20,참이슬 오리지널(360ml),기업형슈퍼,1425
2024-12-20,참이슬 오리지널(360ml),편의점,1900
2024-12-20,처음처럼(360ml),대형마트,1300
2024-12-20,처음처럼(360ml),백화점,1629
2024-12-20,처음처럼(360ml),기업형슈퍼,1420
2024-12-20,처음처럼(360ml),편의점,1900
2024-12-20,백설 고소함가득 참기름(320ml),백화점,6485
2024-12-20,백설 고소함가득 참기름(320ml),기업형슈퍼,10351
2024-12-20,백설 고소함가득 참기름(320ml),편의점,9800
2024-12-20,크린랩(30cm x 50m),대형마트,7580
2024-12-20,크린랩(30cm x 50m),백화점,8099
2024-12-20,크린랩(30cm x 50m),기업형슈퍼,7960
2024-12-20,크린랩(30cm x 50m),편의점,5000
2024-12-20,순창 100% 현미 태양초 찰고추장(1kg),대형마트,13990
2024-12-20,순창 100% 현미 태양초 찰고추장(1kg),백화점,17975
2024-12-20,순창 100% 현미 태양초 찰고추장(1kg),편의점,10700
2024-12-20,순창 재래식안심생된장(1kg),대형마트,9100
2024-12-20,순창 재래식안심생된장(1kg),백화점,7630
2024-12-20,순창 재래식안심생된장(1kg),기업형슈퍼,8421
2024-12-20,오뚜기 딸기잼(500g),대형마트,6980
2024-12-20,오뚜기 딸기잼(500g),백화점,6980
2024-12-20,오뚜기 딸기잼(500g),기업형슈퍼,6485
2024-12-20,오뚜기 딸기잼(500g),편의점,4950
2024-12-20,오뚜기 토마토 케찹(500g),대형마트,3480
2024-12-20,오뚜기 토마토 케찹(500g),백화점,3546
2024-12-20,오뚜기 토마토 케찹(500g),기업형슈퍼,3767
2024-12-20,오뚜기 토마토 케찹(500g),편의점,4000
2024-12-20,오뚜기 사과식초(900ml),대형마트,2730
2024-12-20,오뚜기 사과식초(900ml),백화점,3130
2024-12-20,오뚜기 사과식초(900ml),기업형슈퍼,3601
2024-12-20,햇반(210g),대형마트,1850
2024-12-20,햇반(210g),백화점,1610
2024-12-20,햇반(210g),기업형슈퍼,1972
2024-12-20,햇반(210g),편의점,2100
2024-12-20,"양파(껍질 있는 망포장, 1.5kg)",대형마트,3598
2024-12-20,"양파(껍질 있는 망포장, 1.5kg)",백화점,5955
2024-12-20,"양파(껍질 있는 망포장, 1.5kg)",기업형슈퍼,4893
2024-12-20,3분 쇠고기카레(200g),대형마트,1980
2024-12-20,3분 쇠고기카레(200g),백화점,1855
2024-12-20,3분 쇠고기카레(200g),기업형슈퍼,2158
2024-12-20,3분 쇠고기카레(200g),편의점,1900
2024-12-20,맥심 티오피 마스터 라떼(275ml),대형마트,2580
2024-12-20,맥심 티오피 마스터 라떼(275ml),백화점,2045
2024-12-20,맥심 티오피 마스터 라떼(275ml),기업형슈퍼,2464
2024-12-20,맥심 티오피 마스터 라떼(275ml),편의점,2533
2024-12-20,배추(1.5~2kg),대형마트,4155
2024-12-20,배추(1.5~2kg),백화점,5967
2024-12-20,배추(1.5~2kg),기업형슈퍼,3985
2024-12-20,3분 쇠고기짜장(200g),대형마트,1980
2024-12-20,3분 쇠고기짜장(200g),백화점,1880
2024-12-20,3분 쇠고기짜장(200g),기업형슈퍼,2160
2024-12-20,3분 쇠고기짜장(200g),편의점,2000
2024-12-20,크린랩(22cm x 50m),대형마트,5480
2024-12-20,크린랩(22cm x 50m),백화점,6364
2024-12-20,크린랩(22cm x 50m),기업형슈퍼,6558
2024-12-20,크린랩(22cm x 50m),편의점,4125
2024-12-20,"무(줄기 없는 무, 1.5kg)",대형마트,2755
2024-12-20,"무(줄기 없는 무, 1.5kg)",백화점,4289
2024-12-20,"무(줄기 없는 무, 1.5kg)",기업형슈퍼,3852
2024-12-20,메로나(75ml),백화점,767
2024-12-20,메로나(75ml),기업형슈퍼,849
2024-12-20,메로나(75ml),편의점,900
2024-12-20,해찬들 재래식 된장(1kg),대형마트,4665
2024-12-20,해찬들 재래식 된장(1kg),백화점,6552
2024-12-20,해찬들 재래식 된장(1kg),기업형슈퍼,8735
2024-12-20,오뚜기카레 순한맛(100g),대형마트,2388
2024-12-20,오뚜기카레 순한맛(100g),백화점,2310
2024-12-20,오뚜기카레 순한맛(100g),기업형슈퍼,2326
2024-12-20,오뚜기카레 순한맛(100g),편의점,1950
2024-12-20,동서현미녹차(100개입),대형마트,7550
2024-12-20,동서현미녹차(100개입),백화점,9600
2024-12-20,동서현미녹차(100개입),기업형슈퍼,9087
